
functions called:
filename: ./drivers/pydotplus_3.py, modulename: pydotplus_3, funcname: <module>
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/__init__.py, modulename: __init__, funcname: <module>
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: <lambda>
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: <listcomp>
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: <module>
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Cluster
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Common
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Common.__get_attribute__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Common.create_attribute_methods
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Common.get_parent_graph
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Common.set_parent_graph
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Common.set_sequence
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Dot
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Dot.__init__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Dot.create
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Dot.write
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Edge
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Error
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Graph
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Graph.__init__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Graph.add_node
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Graph.get_next_sequence_number
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Graph.get_node
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Graph.set_parent_graph
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Graph.to_string
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: InvocationException
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Node
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Node.__init__
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Node.get_name
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Node.to_string
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: Subgraph
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: __find_executables
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: find_graphviz
filename: /home/ubuntu/.local/lib/python3.8/site-packages/pydotplus/graphviz.py, modulename: graphviz, funcname: frozendict
